StudentID,Name,FormType,MCQ_Number,Answer,InstructorName,course,comment,sentiment,Emotion,Topic,batch
1,Student_1,Online Education,1,A,,,Excellent course,positive,neutral,35,2023
1,Student_1,Online Education,2,B,,,Helpful resources provided,neutral,neutral,91,2023
1,Student_1,Online Education,3,C,,,Very good experience,positive,joy,27,2023
1,Student_1,Online Education,4,D,,,Poor explanation,negative,neutral,116,2023
1,Student_1,Online Education,5,A,,,Well structured,neutral,neutral,83,2023
1,Student_1,Online Education,6,B,,,Instructor was helpful,neutral,neutral,70,2023
1,Student_1,Online Education,7,C,,,Too fast paced,positive,neutral,32,2023
1,Student_1,Online Education,8,D,,,Loved the course,positive,joy,107,2023
1,Student_1,Online Education,9,A,,,Great content,positive,joy,117,2023
1,Student_1,Online Education,10,B,,,Could be better,positive,neutral,65,2023
1,Student_1,Course,1,C,,Course_1,Excellent course,positive,neutral,35,2023
1,Student_1,Course,2,D,,Course_1,Not satisfied,negative,anger,22,2023
1,Student_1,Course,3,A,,Course_1,Helpful resources provided,neutral,neutral,91,2023
1,Student_1,Course,4,B,,Course_1,Needs improvement,neutral,neutral,-1,2023
1,Student_1,Course,5,C,,Course_1,Loved the course,positive,joy,107,2023
1,Student_1,Course,6,D,,Course_1,Well structured,neutral,neutral,83,2023
1,Student_1,Course,7,A,,Course_1,Poor explanation,negative,neutral,116,2023
1,Student_1,Course,8,B,,Course_1,Instructor was helpful,neutral,neutral,70,2023
1,Student_1,Course,9,C,,Course_1,Great content,positive,joy,117,2023
1,Student_1,Course,10,D,,Course_1,Too fast paced,positive,neutral,32,2023
1,Student_1,Instructor,1,A,Instructor_1,,Helpful resources provided,neutral,neutral,91,2023
1,Student_1,Instructor,2,B,Instructor_1,,Needs improvement,neutral,neutral,-1,2023
1,Student_1,Instructor,3,C,Instructor_1,,Excellent course,positive,neutral,35,2023
1,Student_1,Instructor,4,D,Instructor_1,,Loved the course,positive,joy,107,2023
1,Student_1,Instructor,5,A,Instructor_1,,Well structured,neutral,neutral,83,2023
1,Student_1,Instructor,6,B,Instructor_1,,Poor explanation,negative,neutral,116,2023
1,Student_1,Instructor,7,C,Instructor_1,,Instructor was helpful,neutral,neutral,70,2023
1,Student_1,Instructor,8,D,Instructor_1,,Very good experience,positive,joy,27,2023
1,Student_1,Instructor,9,A,Instructor_1,,Too fast paced,positive,neutral,32,2023
1,Student_1,Instructor,10,B,Instructor_1,,Great content,positive,joy,117,2023
2,Student_2,Online Education,1,A,,,Well structured,neutral,neutral,83,2023
2,Student_2,Online Education,2,C,,,Instructor was helpful,neutral,neutral,70,2023
2,Student_2,Online Education,3,D,,,Great content,positive,joy,117,2023
2,Student_2,Online Education,4,B,,,Too fast paced,positive,neutral,32,2023
2,Student_2,Online Education,5,C,,,Excellent course,positive,neutral,35,2023
2,Student_2,Online Education,6,D,,,Poor explanation,negative,neutral,116,2023
2,Student_2,Online Education,7,A,,,Very good experience,positive,joy,27,2023
2,Student_2,Online Education,8,B,,,Loved the course,positive,joy,107,2023
2,Student_2,Online Education,9,C,,,Helpful resources provided,neutral,neutral,91,2023
2,Student_2,Online Education,10,A,,,Not satisfied,negative,anger,22,2023
2,Student_2,Course,1,B,,Course_1,Instructor was helpful,neutral,neutral,70,2023
2,Student_2,Course,2,C,,Course_1,Helpful resources provided,neutral,neutral,91,2023
2,Student_2,Course,3,D,,Course_1,Great content,positive,joy,117,2023
2,Student_2,Course,4,A,,Course_1,Poor explanation,negative,neutral,116,2023
2,Student_2,Course,5,B,,Course_1,Loved the course,positive,joy,107,2023
2,Student_2,Course,6,C,,Course_1,Excellent course,positive,neutral,35,2023
2,Student_2,Course,7,D,,Course_1,Needs improvement,neutral,neutral,-1,2023
2,Student_2,Course,8,A,,Course_1,Too fast paced,positive,neutral,32,2023
2,Student_2,Course,9,B,,Course_1,Well structured,neutral,neutral,83,2023
2,Student_2,Course,10,C,,Course_1,Could be better,positive,neutral,65,2023
2,Student_2,Instructor,1,D,Instructor_1,,Very good experience,positive,joy,27,2023
2,Student_2,Instructor,2,A,Instructor_1,,Great content,positive,joy,117,2023
2,Student_2,Instructor,3,B,Instructor_1,,Helpful resources provided,neutral,neutral,91,2023
2,Student_2,Instructor,4,C,Instructor_1,,Loved the course,positive,joy,107,2023
2,Student_2,Instructor,5,D,Instructor_1,,Needs improvement,neutral,neutral,-1,2023
2,Student_2,Instructor,6,A,Instructor_1,,Too fast paced,positive,neutral,32,2023
2,Student_2,Instructor,7,B,Instructor_1,,Excellent course,positive,neutral,35,2023
2,Student_2,Instructor,8,C,Instructor_1,,Poor explanation,negative,neutral,116,2023
2,Student_2,Instructor,9,D,Instructor_1,,Well structured,neutral,neutral,83,2023
2,Student_2,Instructor,10,A,Instructor_1,,Instructor was helpful,neutral,neutral,70,2023
3,Student_3,Online Education,1,B,,,Excellent course,positive,neutral,35,2023
3,Student_3,Online Education,2,D,,,Too fast paced,positive,neutral,32,2023
3,Student_3,Online Education,3,A,,,Helpful resources provided,neutral,neutral,91,2023
3,Student_3,Online Education,4,C,,,Poor explanation,negative,neutral,116,2023
3,Student_3,Online Education,5,B,,,Instructor was helpful,neutral,neutral,70,2023
3,Student_3,Online Education,6,D,,,Great content,positive,joy,117,2023
3,Student_3,Online Education,7,C,,,Well structured,neutral,neutral,83,2023
3,Student_3,Online Education,8,A,,,Loved the course,positive,joy,107,2023
3,Student_3,Online Education,9,B,,,Needs improvement,neutral,neutral,-1,2023
3,Student_3,Online Education,10,D,,,Very good experience,positive,joy,27,2023
3,Student_3,Course,1,A,,Course_1,Loved the course,positive,joy,107,2023
3,Student_3,Course,2,B,,Course_1,Great content,positive,joy,117,2023
3,Student_3,Course,3,C,,Course_1,Instructor was helpful,neutral,neutral,70,2023
3,Student_3,Course,4,D,,Course_1,Well structured,neutral,neutral,83,2023
3,Student_3,Course,5,B,,Course_1,Too fast paced,positive,neutral,32,2023
