StudentID,Name,FormType,MCQ_Number,Answer,InstructorName,CourseName,Comments,Sentiment,Emotion,Topic
1,Student_1,Online Education,1,A,,,Excellent course,Positive,neutral,35
1,Student_1,Online Education,2,B,,,Helpful resources provided,Neutral,neutral,91
1,Student_1,Online Education,3,C,,,Very good experience,Positive,joy,27
1,Student_1,Online Education,4,D,,,Poor explanation,Negative,neutral,116
1,Student_1,Online Education,5,A,,,Well structured,Neutral,neutral,83
1,Student_1,Online Education,6,B,,,Instructor was helpful,Neutral,neutral,70
1,Student_1,Online Education,7,C,,,Too fast paced,Positive,neutral,32
1,Student_1,Online Education,8,D,,,Loved the course,Positive,joy,107
1,Student_1,Online Education,9,A,,,Great content,Positive,joy,117
1,Student_1,Online Education,10,B,,,Could be better,Positive,neutral,65
1,Student_1,Course,1,C,,Course_1,Excellent course,Positive,neutral,35
1,Student_1,Course,2,D,,Course_1,Not satisfied,Negative,anger,22
1,Student_1,Course,3,A,,Course_1,Helpful resources provided,Neutral,neutral,91
1,Student_1,Course,4,B,,Course_1,Needs improvement,Neutral,neutral,-1
1,Student_1,Course,5,C,,Course_1,Loved the course,Positive,joy,107
1,Student_1,Course,6,D,,Course_1,Well structured,Neutral,neutral,83
1,Student_1,Course,7,A,,Course_1,Poor explanation,Negative,neutral,116
1,Student_1,Course,8,B,,Course_1,Instructor was helpful,Neutral,neutral,70
1,Student_1,Course,9,C,,Course_1,Great content,Positive,joy,117
1,Student_1,Course,10,D,,Course_1,Too fast paced,Positive,neutral,32
1,Student_1,Instructor,1,A,Instructor_1,,Helpful resources provided,Neutral,neutral,91
1,Student_1,Instructor,2,B,Instructor_1,,Needs improvement,Neutral,neutral,-1
1,Student_1,Instructor,3,C,Instructor_1,,Excellent course,Positive,neutral,35
1,Student_1,Instructor,4,D,Instructor_1,,Loved the course,Positive,joy,107
1,Student_1,Instructor,5,A,Instructor_1,,Well structured,Neutral,neutral,83
1,Student_1,Instructor,6,B,Instructor_1,,Poor explanation,Negative,neutral,116
1,Student_1,Instructor,7,C,Instructor_1,,Instructor was helpful,Neutral,neutral,70
1,Student_1,Instructor,8,D,Instructor_1,,Very good experience,Positive,joy,27
1,Student_1,Instructor,9,A,Instructor_1,,Too fast paced,Positive,neutral,32
1,Student_1,Instructor,10,B,Instructor_1,,Great content,Positive,joy,117
2,Student_2,Online Education,1,A,,,Well structured,Neutral,neutral,83
2,Student_2,Online Education,2,C,,,Instructor was helpful,Neutral,neutral,70
2,Student_2,Online Education,3,D,,,Great content,Positive,joy,117
2,Student_2,Online Education,4,B,,,Too fast paced,Positive,neutral,32
2,Student_2,Online Education,5,C,,,Excellent course,Positive,neutral,35
2,Student_2,Online Education,6,D,,,Poor explanation,Negative,neutral,116
2,Student_2,Online Education,7,A,,,Very good experience,Positive,joy,27
2,Student_2,Online Education,8,B,,,Loved the course,Positive,joy,107
2,Student_2,Online Education,9,C,,,Helpful resources provided,Neutral,neutral,91
2,Student_2,Online Education,10,A,,,Not satisfied,Negative,anger,22
2,Student_2,Course,1,B,,Course_1,Instructor was helpful,Neutral,neutral,70
2,Student_2,Course,2,C,,Course_1,Helpful resources provided,Neutral,neutral,91
2,Student_2,Course,3,D,,Course_1,Great content,Positive,joy,117
2,Student_2,Course,4,A,,Course_1,Poor explanation,Negative,neutral,116
2,Student_2,Course,5,B,,Course_1,Loved the course,Positive,joy,107
2,Student_2,Course,6,C,,Course_1,Excellent course,Positive,neutral,35
2,Student_2,Course,7,D,,Course_1,Needs improvement,Neutral,neutral,-1
2,Student_2,Course,8,A,,Course_1,Too fast paced,Positive,neutral,32
2,Student_2,Course,9,B,,Course_1,Well structured,Neutral,neutral,83
2,Student_2,Course,10,C,,Course_1,Could be better,Positive,neutral,65
2,Student_2,Instructor,1,D,Instructor_1,,Very good experience,Positive,joy,27
2,Student_2,Instructor,2,A,Instructor_1,,Great content,Positive,joy,117
2,Student_2,Instructor,3,B,Instructor_1,,Helpful resources provided,Neutral,neutral,91
2,Student_2,Instructor,4,C,Instructor_1,,Loved the course,Positive,joy,107
2,Student_2,Instructor,5,D,Instructor_1,,Needs improvement,Neutral,neutral,-1
2,Student_2,Instructor,6,A,Instructor_1,,Too fast paced,Positive,neutral,32
2,Student_2,Instructor,7,B,Instructor_1,,Excellent course,Positive,neutral,35
2,Student_2,Instructor,8,C,Instructor_1,,Poor explanation,Negative,neutral,116
2,Student_2,Instructor,9,D,Instructor_1,,Well structured,Neutral,neutral,83
2,Student_2,Instructor,10,A,Instructor_1,,Instructor was helpful,Neutral,neutral,70
3,Student_3,Online Education,1,B,,,Excellent course,Positive,neutral,35
3,Student_3,Online Education,2,D,,,Too fast paced,Positive,neutral,32
3,Student_3,Online Education,3,A,,,Helpful resources provided,Neutral,neutral,91
3,Student_3,Online Education,4,C,,,Poor explanation,Negative,neutral,116
3,Student_3,Online Education,5,B,,,Instructor was helpful,Neutral,neutral,70
3,Student_3,Online Education,6,D,,,Great content,Positive,joy,117
3,Student_3,Online Education,7,C,,,Well structured,Neutral,neutral,83
3,Student_3,Online Education,8,A,,,Loved the course,Positive,joy,107
3,Student_3,Online Education,9,B,,,Needs improvement,Neutral,neutral,-1
3,Student_3,Online Education,10,D,,,Very good experience,Positive,joy,27
3,Student_3,Course,1,A,,Course_1,Loved the course,Positive,joy,107
3,Student_3,Course,2,B,,Course_1,Great content,Positive,joy,117
3,Student_3,Course,3,C,,Course_1,Instructor was helpful,Neutral,neutral,70
3,Student_3,Course,4,D,,Course_1,Well structured,Neutral,neutral,83
3,Student_3,Course,5,B,,Course_1,Too fast paced,Positive,neutral,32
3,Student_3,Course,6,C,,Course_1,Poor explanation,Negative,neutral,116
3,Student_3,Course,7,A,,Course_1,Could be better,Positive,neutral,65
3,Student_3,Course,8,B,,Course_1,Helpful resources provided,Neutral,neutral,91
3,Student_3,Course,9,C,,Course_1,Excellent course,Positive,neutral,35
3,Student_3,Course,10,D,,Course_1,Not satisfied,Negative,anger,22
3,Student_3,Instructor,1,B,Instructor_1,,Very good experience,Positive,joy,27
3,Student_3,Instructor,2,C,Instructor_1,,Needs improvement,Neutral,neutral,-1
3,Student_3,Instructor,3,D,Instructor_1,,Helpful resources provided,Neutral,neutral,91
3,Student_3,Instructor,4,A,Instructor_1,,Too fast paced,Positive,neutral,32
3,Student_3,Instructor,5,B,Instructor_1,,Excellent course,Positive,neutral,35
3,Student_3,Instructor,6,D,Instructor_1,,Instructor was helpful,Neutral,neutral,70
3,Student_3,Instructor,7,A,Instructor_1,,Great content,Positive,joy,117
3,Student_3,Instructor,8,C,Instructor_1,,Well structured,Neutral,neutral,83
3,Student_3,Instructor,9,B,Instructor_1,,Loved the course,Positive,joy,107
